Home Ownership,Years in current job,Tax Liens,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Credit Score,Annual Income,Number of Open Accounts,Years of Credit History,Current Credit Balance,Monthly Debt,Credit Default
Rent,7 years,0.0,609554.0,0.0,43.0,0.0,debt consolidation,Short Term,267938.0,739.0,1156986.0,13.0,18.9,327959.0,29407.0,0
Rent,2 years,0.0,349140.0,0.0,30.0,0.0,vacation,Short Term,216106.0,731.0,1029141.5073256041,16.0,13.1,104633.0,11120.0,1
Home Mortgage,2 years,0.0,396836.0,0.0,16.0,0.0,home improvements,Long Term,264528.0,731.0,1214884.5348042862,10.0,13.8,294747.0,15548.0,1
Rent,1 year,0.0,475618.0,0.0,33.0,0.0,debt consolidation,Short Term,309606.0,731.0,955898.1626624049,6.0,20.7,52269.0,5068.0,0
Home Mortgage,< 1 year,0.0,735966.0,0.0,0.0,0.0,debt consolidation,Long Term,780406.0,6860.0,2214507.0,9.0,25.8,469072.0,11940.0,1
Rent,1 year,0.0,493416.0,0.0,0.0,0.0,debt consolidation,Short Term,189068.0,7460.0,777974.0,10.0,13.4,183236.0,10114.0,1
Home Mortgage,4 years,0.0,1553530.0,0.0,0.0,0.0,debt consolidation,Long Term,309606.0,727.0,1170590.0,18.0,25.5,633289.0,16009.0,0
Rent,10+ years,0.0,530178.0,0.0,0.0,0.0,debt consolidation,Long Term,347842.0,731.0,1288901.502541684,9.0,16.9,268318.0,18095.0,0
Home Mortgage,10+ years,0.0,846582.0,0.0,0.0,0.0,debt consolidation,Long Term,421212.0,731.0,1170590.0,13.0,26.5,628064.0,16009.0,0
Rent,2 years,0.0,475618.0,0.0,31.0,0.0,medical bills,Short Term,309606.0,646.0,949126.0,6.0,17.0,208449.0,10124.0,1
Own Home,10+ years,0.0,357874.0,0.0,25.0,0.0,home improvements,Short Term,109208.0,734.0,603554.0,12.0,14.5,114969.0,14787.0,0
Own Home,10+ years,0.0,174592.0,0.0,73.0,0.0,other,Short Term,218306.0,730.0,904970.0,10.0,14.3,145958.0,8220.0,1
Rent,5 years,0.0,943118.0,0.0,41.0,0.0,debt consolidation,Short Term,540188.0,731.0,1350200.389278789,10.0,15.0,329878.0,20617.0,0
Own Home,10+ years,0.0,237138.0,0.0,59.0,0.0,debt consolidation,Short Term,309606.0,667.0,833416.0,7.0,9.5,58159.00000000003,16009.0,0
Home Mortgage,8 years,0.0,774290.0,0.0,25.0,0.0,debt consolidation,Long Term,582890.0,720.0,1622087.0,17.0,15.1,309605.0,24602.0,0
Home Mortgage,10+ years,0.0,475618.0,0.0,71.0,0.0,debt consolidation,Short Term,767228.0,715.0,1170590.0,11.0,26.3,208449.0,31461.0,0
Home Mortgage,10+ years,0.0,772772.0,0.0,13.0,0.0,debt consolidation,Short Term,515218.0,741.0,2057966.0,13.0,28.2,421116.0,37215.0,0
Home Mortgage,2 years,0.0,938366.0,0.0,39.0,0.0,debt consolidation,Short Term,141834.0,698.0,1319227.0,11.0,26.5,616721.0,16820.0,0
Rent,10+ years,0.0,374704.0,1.0,0.0,1.0,debt consolidation,Short Term,381524.0,731.0,1115581.2948637798,10.0,17.0,193838.0,11434.0,0
Home Mortgage,10+ years,0.0,1121010.0,0.0,0.0,0.0,debt consolidation,Short Term,269126.0,744.0,1452645.0,18.0,15.6,190722.0,11306.0,0
