Home Ownership,Years in current job,Tax Liens,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Purpose,Term,Current Loan Amount,Credit Score,Annual Income,Number of Open Accounts,Years of Credit History,Current Credit Balance,Monthly Debt,Credit Default
Home Mortgage,2 years,0.0,917774.0,0.0,0.0,0.0,debt consolidation,Short Term,774774.0,743.0,1854419.0,16.0,17.1,199747.0,29053.0,1
Home Mortgage,5 years,0.0,449790.0,1.0,10.0,1.0,debt consolidation,Long Term,268202.0,647.0,1158126.0,18.0,19.5,136743.0,31656.0,0
Rent,3 years,0.0,540056.0,0.0,0.0,0.0,debt consolidation,Short Term,250140.0,729.0,818463.0,10.0,31.699999999999996,372191.0,19711.0,1
Home Mortgage,10+ years,0.0,291676.0,0.0,8.0,0.0,other,Short Term,132638.0,7130.0,1050016.0,7.0,28.5,246373.0,19425.0,1
Rent,1 year,0.0,624030.0,0.0,54.0,0.0,debt consolidation,Long Term,260722.0,7110.0,1240320.0,9.0,18.0,243599.0,34316.0,1
Home Mortgage,5 years,0.0,132792.0,0.0,0.0,0.0,other,Long Term,348436.0,731.0,1253248.9705675116,10.0,26.2,39919.00000000003,16009.0,1
Home Mortgage,10+ years,0.0,1004740.0,0.0,10.0,0.0,debt consolidation,Long Term,376068.0,721.0,917016.0,14.0,24.2,541462.0,24759.0,0
Rent,10+ years,0.0,475618.0,4.0,32.0,4.0,debt consolidation,Short Term,309606.0,713.0,918517.0,10.0,19.8,208449.0,7501.0,0
Rent,4 years,0.0,214016.0,0.0,45.0,0.0,debt consolidation,Short Term,309606.0,740.0,1239826.0,7.0,19.9,86506.99999999997,8297.0,0
Rent,< 1 year,0.0,170434.0,0.0,45.0,0.0,debt consolidation,Short Term,179828.0,729.0,970710.0,10.0,19.7,33117.0,5379.0,0
Rent,10+ years,0.0,182930.0,0.0,59.0,0.0,other,Short Term,172260.0,737.0,1022846.0,11.0,12.9,114855.0,16009.0,0
Own Home,4 years,0.0,1611632.0,0.0,0.0,0.0,debt consolidation,Short Term,776248.0,687.0,1991998.0,10.0,22.5,208449.0,34113.0,0
Rent,1 year,0.0,664422.0,0.0,33.0,0.0,debt consolidation,Long Term,360272.0,731.0,1371813.2883566483,14.0,14.5,226081.0,24464.0,0
Home Mortgage,3 years,0.0,382844.0,0.0,46.0,0.0,debt consolidation,Short Term,456698.0,730.0,1063392.0,6.0,12.3,205656.0,9836.0,0
Home Mortgage,3 years,0.0,348238.0,0.0,15.0,0.0,debt consolidation,Short Term,195756.0,731.0,1391445.014115135,13.0,14.2,203908.0,25520.0,0
Rent,10+ years,0.0,1685002.0,0.0,0.0,0.0,debt consolidation,Short Term,309606.0,750.0,1170590.0,12.0,30.0,609748.0,28423.0,0
Rent,10+ years,0.0,648252.0,0.0,0.0,0.0,debt consolidation,Short Term,296824.0,731.0,1504187.7519776155,12.0,13.1,395827.0,28733.0,0
Home Mortgage,2 years,0.0,666578.0,0.0,0.0,0.0,debt consolidation,Short Term,249766.0,739.0,637735.0,10.0,20.5,530195.0,13764.0,0
Home Mortgage,10+ years,0.0,475618.0,0.0,0.0,0.0,debt consolidation,Short Term,538736.0,731.0,1208360.7943415656,15.0,18.6,208449.0,16009.0,0
Home Mortgage,5 years,0.0,263516.0,0.0,39.0,0.0,debt consolidation,Short Term,210562.0,720.0,698250.0,12.0,17.0,163647.0,19784.0,0
Rent,5 years,0.0,475618.0,0.0,33.0,0.0,home improvements,Short Term,129338.0,728.0,1170590.0,10.0,17.0,208449.0,13535.0,0
Rent,3 years,0.0,350988.0,0.0,0.0,0.0,debt consolidation,Short Term,309606.0,714.0,633403.0,14.0,10.0,281295.0,12087.0,1
Home Mortgage,10+ years,0.0,154220.0,0.0,35.0,0.0,debt consolidation,Short Term,268180.0,731.0,1312406.0,7.0,20.7,75107.0,7492.0,0
Own Home,4 years,0.0,848584.0,0.0,0.0,0.0,debt consolidation,Long Term,420508.0,611.0,1013479.0,13.0,24.2,260167.0,24661.0,0
Rent,2 years,0.0,212212.0,1.0,0.0,1.0,debt consolidation,Short Term,135212.0,742.0,1556936.0,11.0,12.5,34275.99999999997,10146.0,0
Home Mortgage,10+ years,0.0,747846.0,0.0,69.0,0.0,debt consolidation,Long Term,309606.0,699.0,1303628.0,15.0,19.1,426911.0,15426.0,0
Home Mortgage,3 years,0.0,792440.0,0.0,0.0,0.0,debt consolidation,Short Term,309606.0,740.0,1569666.0,10.0,24.5,500973.0,11288.0,0
Rent,4 years,0.0,387486.0,0.0,73.0,0.0,home improvements,Long Term,342848.0,637.0,1768064.0,9.0,22.1,312227.0,16355.0,0
Home Mortgage,10+ years,0.0,270578.0,1.0,0.0,1.0,debt consolidation,Short Term,212762.0,734.0,957030.0,8.0,18.0,138339.0,14435.0,0
Rent,10+ years,0.0,132418.0,1.0,0.0,1.0,other,Short Term,176616.0,673.0,1304141.0,6.0,12.9,97546.0,14237.0,0
Rent,8 years,0.0,242352.0,1.0,32.0,1.0,debt consolidation,Short Term,330528.0,718.0,951520.0,11.0,19.3,122227.0,12370.0,0
Home Mortgage,2 years,0.0,525470.0,0.0,0.0,0.0,home improvements,Long Term,386210.0,742.0,1158164.0,8.0,17.9,309966.0,22102.0,0
Rent,7 years,0.0,513524.0,0.0,31.0,0.0,debt consolidation,Long Term,359964.0,729.0,971470.0,12.0,11.3,170753.0,10119.0,1
Rent,10+ years,0.0,379918.0,0.0,48.0,0.0,debt consolidation,Long Term,219692.0,6610.0,527839.0,9.0,17.0,254277.0,14208.0,1
Rent,10+ years,0.0,455202.0,0.0,21.0,0.0,debt consolidation,Short Term,256102.0,731.0,1213502.3596070465,14.0,18.7,117154.0,17000.0,0
