Tax Liens,Maximum Open Credit,Number of Credit Problems,Bankruptcies,Current Loan Amount,Credit Score,Annual Income,Number of Open Accounts,Years of Credit History,Current Credit Balance,Monthly Debt,Term_Long Term,Term_Short Term,Purpose_debt consolidation,Purpose_other,Home Ownership_Home Mortgage,Home Ownership_Own Home,Home Ownership_Rent,Predicted_Class
0.0,220968.0,0.0,0.0,162470.0,731.0,937384.1472224582,9.0,12.5,105906.0,6813.0,0,1,1,0,0,0,1,0
0.0,475618.0,0.0,0.0,78298.0,699.0,1170590.0,6.0,17.0,46037.0,16009.0,0,1,0,1,0,0,1,0
0.0,204600.0,0.0,0.0,200178.0,7260.0,1152540.0,10.0,13.7,146490.0,18729.0,0,1,1,0,1,0,0,1
0.0,456302.0,0.0,0.0,217382.0,739.0,1220313.0,16.0,17.0,213199.0,27559.0,0,1,1,0,1,0,0,0
0.0,1207272.0,0.0,0.0,777634.0,706.0,2340952.0,11.0,23.6,425391.0,16009.0,1,0,1,0,1,0,0,0
0.0,713174.0,0.0,0.0,94028.0,679.0,922583.0,10.0,17.5,135508.0,11148.0,0,1,1,0,1,0,0,0
0.0,376420.0,0.0,0.0,454388.0,685.0,1233309.0,7.0,22.0,292904.0,8181.0,0,1,0,1,1,0,0,0
0.0,195888.0,0.0,0.0,407726.0,701.0,1215867.0,13.0,12.2,120099.0,7599.0,0,1,1,0,0,0,1,0
0.0,370524.0,0.0,0.0,131956.0,731.0,1026844.8754248079,8.0,9.1,237747.0,10112.0,0,1,0,1,0,0,1,0
1.0,867680.0,1.0,0.0,391336.0,745.0,2140445.0,15.0,16.7,294500.0,18372.0,0,1,1,0,1,0,0,0
0.0,573650.0,0.0,0.0,327008.0,737.0,941355.0,10.0,17.0,192223.0,16009.0,0,1,1,0,0,1,0,0
0.0,485342.0,0.0,0.0,346654.0,696.0,1571737.0,11.0,22.2,320226.0,35626.0,1,0,1,0,1,0,0,0
0.0,306328.0,0.0,0.0,155408.0,7030.0,1054614.0,11.0,14.0,202388.0,14940.0,0,1,1,0,1,0,0,1
0.0,441518.0,0.0,0.0,210782.0,720.0,1232530.0,15.0,14.7,228399.0,29889.0,0,1,1,0,0,0,1,0
0.0,329912.0,0.0,0.0,291918.0,700.0,1473887.0,13.0,15.1,243333.0,17195.0,1,0,0,1,1,0,0,1
0.0,676720.0,0.0,0.0,372834.0,711.0,1118302.0,16.0,27.1,506103.0,23671.0,0,1,1,0,0,0,1,0
0.0,613404.0,0.0,0.0,557480.0,731.0,1474438.4777330519,10.0,10.400000000000002,486856.0,26230.0,0,1,1,0,0,0,1,0
0.0,357456.0,0.0,0.0,309606.0,729.0,1246495.0,10.0,22.9,294823.0,21086.0,0,1,1,0,1,0,0,0
0.0,475618.0,0.0,0.0,462792.0,749.0,2207743.0,11.0,24.3,710334.0,19870.0,0,1,1,0,1,0,0,0
0.0,509014.0,0.0,0.0,221474.0,738.0,2295276.0,16.0,17.0,126160.0,15168.0,1,0,1,0,0,0,1,0
0.0,475618.0,0.0,0.0,344476.0,731.0,1292885.3215276387,10.0,24.5,463011.0,12732.0,1,0,1,0,1,0,0,1
0.0,477004.0,0.0,0.0,261580.0,728.0,715350.0,16.0,11.4,183730.0,6975.0,0,1,0,1,1,0,0,0
0.0,512380.0,0.0,0.0,309606.0,733.0,960735.0,17.0,11.8,164179.0,17133.0,0,1,1,0,0,1,0,0
0.0,1208988.0,0.0,0.0,264638.0,751.0,2475928.0,8.0,23.9,199424.0,6623.0,0,1,0,1,1,0,0,0
0.0,475618.0,0.0,0.0,105622.0,724.0,950190.0,12.0,23.0,62016.00000000003,15599.0,0,1,1,0,1,0,0,0
0.0,237842.0,0.0,0.0,249106.0,734.0,736516.0,10.0,15.4,107426.0,7795.0,0,1,0,1,1,0,0,0
0.0,312026.0,0.0,0.0,263846.0,711.0,835506.0,10.0,15.2,189183.0,14760.0,1,0,1,0,1,0,0,0
0.0,631202.0,0.0,0.0,444576.0,731.0,1335850.545330293,10.0,17.0,378328.0,19038.0,0,1,1,0,1,0,0,0
0.0,174636.0,0.0,0.0,140162.0,739.0,651833.0,8.0,10.400000000000002,98933.0,11733.0,0,1,1,0,0,1,0,0
0.0,233134.0,0.0,0.0,86328.0,734.0,1025145.0,11.0,14.5,52953.0,23578.0,0,1,0,1,0,0,1,0
1.0,244904.0,1.0,0.0,129492.0,699.0,1155618.0,7.0,17.0,208449.0,16009.0,0,1,0,1,0,0,1,0
0.0,247698.0,1.0,1.0,109780.0,731.0,979863.4150281801,6.0,20.4,63745.0,6469.0,0,1,1,0,1,0,0,0
0.0,829180.0,0.0,0.0,411400.0,724.0,1495984.0,11.0,17.0,494836.0,21692.0,0,1,1,0,1,0,0,0
0.0,927124.0,0.0,0.0,309606.0,735.0,743888.0,11.0,20.0,303468.0,15002.0,0,1,1,0,0,0,1,0
0.0,699908.0,0.0,0.0,591668.0,743.0,1744447.0,9.0,26.0,305254.0,22242.0,0,1,1,0,1,0,0,0
0.0,825528.0,0.0,0.0,401654.0,731.0,986109.0891947238,8.0,12.5,135470.0,8600.0,0,1,0,1,1,0,0,0
0.0,177298.0,0.0,0.0,99770.0,746.0,1170590.0,7.0,15.4,57722.0,7218.0,0,1,0,1,1,0,0,0
0.0,475618.0,1.0,1.0,215512.0,731.0,1333780.6478671948,6.0,20.5,208449.0,20464.0,0,1,1,0,1,0,0,0
0.0,202730.0,0.0,0.0,338096.0,731.0,1250852.7637229804,10.0,14.6,151639.0,19782.0,0,1,1,0,0,0,1,0
0.0,201410.0,1.0,1.0,208626.0,727.0,1170590.0,6.0,13.9,30096.0,7884.0,0,1,1,0,1,0,0,0
0.0,612062.0,0.0,0.0,215952.0,715.0,652764.0,12.0,17.0,83524.0,13654.0,1,0,1,0,1,0,0,0
0.0,1584506.0,0.0,0.0,777172.0,7320.0,1735498.0,10.0,13.2,758119.0,30371.0,0,1,1,0,1,0,0,1
0.0,1661484.0,0.0,0.0,296560.0,731.0,1199911.9524229043,10.0,15.8,208449.0,16009.0,1,0,0,1,0,0,1,0
0.0,475618.0,0.0,0.0,179212.0,747.0,1625203.0,10.0,19.0,241908.0,38328.0,0,1,1,0,1,0,0,0
0.0,331232.0,0.0,0.0,237842.0,676.0,1120392.0,10.0,13.0,78945.0,16246.0,1,0,1,0,1,0,0,1
0.0,475618.0,0.0,0.0,309606.0,737.0,1768729.0,11.0,19.7,208449.0,29184.0,0,1,1,0,1,0,0,0
0.0,337392.0,0.0,0.0,263274.0,731.0,969252.8699525152,6.0,14.7,191444.0,6066.0,0,1,1,0,0,0,1,0
