iter	Accuracy	Logloss
0	0.6515083965	0.6903990668
1	0.6506167335	0.6879541331
2	0.6521028385	0.6853812403
3	0.6500222916	0.6832107314
4	0.6480903552	0.680810155
5	0.6479417447	0.6783755058
6	0.6483875762	0.6761837233
7	0.6480903552	0.6745830531
8	0.6480903552	0.6727737244
9	0.7513746471	0.629429322
10	0.8090355179	0.5916849551
11	0.8319215337	0.5563058301
12	0.8666963888	0.5231342642
13	0.8964184871	0.4942419111
14	0.9050378957	0.4708614409
15	0.9083073265	0.4467856201
16	0.9100906524	0.4258174726
17	0.9103878734	0.4061094726
18	0.9109823154	0.4041159675
19	0.9115767573	0.3883923929
20	0.9126170308	0.3733298781
21	0.9126170308	0.3594556819
22	0.9124684203	0.3471017571
23	0.9126170308	0.346571491
24	0.9126170308	0.3460504905
25	0.9118739783	0.3443636926
26	0.9123198098	0.3438058861
27	0.9124684203	0.3420494557
28	0.9123198098	0.3414405998
29	0.9121711993	0.3409724329
30	0.9127656413	0.3307983003
31	0.9117253678	0.3211815944
32	0.9112795363	0.3206821818
33	0.9108337049	0.3204762297
34	0.9109823154	0.319980326
35	0.9111309258	0.3193853186
36	0.9114281468	0.3100437062
37	0.9105364839	0.3097749063
38	0.9102392629	0.3093992258
39	0.9100906524	0.3090189515
40	0.9099420419	0.3088340353
41	0.9099420419	0.3084379167
42	0.9102392629	0.3082697345
43	0.9102392629	0.3077654033
44	0.9093475999	0.2992526477
45	0.9091989894	0.2989418453
46	0.908753158	0.2986407153
47	0.909050379	0.2903353265
48	0.909050379	0.2897748141
49	0.9091989894	0.2892835067
50	0.9091989894	0.2888963892
51	0.9093475999	0.2885098093
52	0.9091989894	0.2812602607
53	0.909050379	0.2807793826
54	0.9093475999	0.2803491867
55	0.9096448209	0.2732488388
56	0.9103878734	0.2726674541
57	0.9103878734	0.2724068726
58	0.9106850944	0.2719332763
59	0.9111309258	0.2715930367
60	0.9106850944	0.2652220846
61	0.9099420419	0.2592164135
62	0.9114281468	0.2537810746
63	0.9108337049	0.2534664612
64	0.9108337049	0.253225607
65	0.9112795363	0.2528074914
66	0.9109823154	0.2524062214
67	0.9117253678	0.2520246439
68	0.9121711993	0.2516731755
69	0.9120225888	0.2512735506
70	0.9123198098	0.2509525977
71	0.9124684203	0.2506689384
72	0.9120225888	0.2502816017
73	0.9120225888	0.2501464019
74	0.9120225888	0.2493406115
75	0.9121711993	0.2490053384
76	0.9118739783	0.2454871805
77	0.9118739783	0.2452616341
78	0.9117253678	0.2406680938
79	0.9118739783	0.2403742855
80	0.9117253678	0.235929836
81	0.9114281468	0.2321486731
82	0.9118739783	0.2286877225
83	0.9126170308	0.2281935797
84	0.9124684203	0.2252293023
85	0.9132114727	0.224417748
86	0.9130628622	0.2240703658
87	0.9136573042	0.223498507
88	0.9141031357	0.22002987
89	0.9139545252	0.2177495987
90	0.9141031357	0.2148445854
91	0.9141031357	0.2127218053
92	0.9148461881	0.2099615693
93	0.9144003567	0.209485509
94	0.9157378511	0.2085457794
95	0.9182642295	0.2057719304
96	0.918115619	0.2056879658
97	0.918115619	0.20502574
98	0.9179670085	0.2046570799
99	0.9184128399	0.2042925304
100	0.9201961658	0.2018749703
101	0.9200475554	0.2014814293
102	0.9200475554	0.2011684484
103	0.9200475554	0.2008094247
104	0.9221281022	0.1983580197
105	0.9234655967	0.1959060488
106	0.9236142072	0.1955096116
107	0.9234655967	0.1952890631
108	0.9234655967	0.1950869429
109	0.9234655967	0.1950360909
110	0.9234655967	0.1946095686
111	0.9242086491	0.1934913627
112	0.9258433645	0.192779803
113	0.9261405855	0.1908027658
114	0.926586417	0.1904909254
115	0.9264378065	0.1904510173
116	0.9258433645	0.1902879986
117	0.925694754	0.1900553088
118	0.9264378065	0.1893860975
119	0.9267350275	0.1892362298
120	0.926586417	0.1888656456
121	0.926586417	0.1887015274
122	0.926586417	0.1885537983
123	0.9267350275	0.1882968028
124	0.9267350275	0.1882716552
125	0.9270322485	0.1867483555
126	0.9270322485	0.1865920367
127	0.9267350275	0.1864468719
128	0.9267350275	0.1850285383
