iter	Passed	Remaining
0	231	231641
1	268	134172
2	305	101552
3	332	82899
4	375	74815
5	419	69452
6	455	64624
7	473	58764
8	496	54637
9	540	53494
10	583	52423
11	623	51319
12	658	50016
13	699	49255
14	740	48647
15	774	47652
16	809	46797
17	842	45942
18	879	45425
19	915	44842
20	949	44259
21	981	43615
22	1015	43150
23	1055	42924
24	1079	42097
25	1114	41748
26	1155	41655
27	1198	41588
28	1237	41439
29	1278	41333
30	1315	41110
31	1349	40820
32	1385	40610
33	1396	39672
34	1435	39576
35	1474	39479
36	1513	39399
37	1530	38740
38	1562	38504
39	1601	38443
40	1612	37720
41	1649	37619
42	1659	36929
43	1699	36931
44	1738	36891
45	1776	36848
46	1816	36838
47	1857	36848
48	1897	36818
49	1938	36832
50	1977	36793
51	2017	36773
52	2056	36745
53	2095	36707
54	2136	36701
55	2175	36676
56	2217	36690
57	2256	36655
58	2296	36626
59	2335	36595
60	2376	36586
61	2419	36598
62	2459	36577
63	2485	36354
64	2510	36113
65	2545	36028
66	2587	36032
67	2627	36018
68	2664	35949
69	2705	35937
70	2743	35900
71	2783	35878
72	2817	35776
73	2832	35446
74	2871	35416
75	2913	35422
76	2954	35412
77	2994	35395
78	3029	35319
79	3071	35319
80	3111	35303
81	3149	35258
82	3182	35160
83	3220	35114
84	3259	35088
85	3298	35052
86	3332	34972
87	3374	34971
88	3414	34954
89	3455	34940
90	3495	34915
91	3534	34881
92	3571	34833
93	3678	35456
94	3716	35404
95	3754	35359
96	3765	35054
97	3805	35022
98	3845	34999
99	3881	34934
100	3920	34898
101	3961	34877
102	4001	34848
103	4043	34836
104	4082	34798
105	4122	34765
106	4161	34727
107	4199	34684
108	4237	34639
109	4253	34411
110	4289	34352
111	4330	34335
112	4372	34321
113	4417	34333
114	4462	34338
115	4474	34100
116	4515	34079
117	4557	34063
118	4599	34049
119	4635	33994
120	4676	33969
121	4716	33946
122	4752	33888
123	4794	33869
124	4806	33648
125	4843	33596
126	4881	33556
127	4924	33550
128	4966	33536
129	5014	33558
130	5051	33507
131	5062	33287
132	5103	33269
133	5144	33248
134	5183	33213
135	5224	33193
136	5253	33095
137	5290	33043
138	5330	33018
139	5371	32994
140	5414	32989
141	5455	32961
142	5497	32947
143	5537	32915
144	5577	32888
145	5615	32844
146	5655	32819
147	5698	32807
148	5738	32776
149	5777	32740
150	5818	32716
151	5854	32662
152	5898	32652
153	5940	32634
154	5980	32603
155	6022	32585
156	6061	32548
157	6100	32508
158	6141	32486
159	6177	32430
160	6221	32419
161	6266	32415
162	6294	32321
163	6332	32282
164	6373	32254
165	6414	32224
166	6434	32097
167	6474	32062
168	6516	32040
169	6559	32026
170	6598	31989
171	6640	31966
172	6679	31928
173	6718	31892
174	6761	31875
175	6800	31838
176	6839	31803
177	6882	31783
178	6923	31757
179	6959	31705
180	6997	31664
181	7036	31627
182	7076	31594
183	7120	31577
184	7160	31543
185	7198	31502
186	7240	31479
187	7280	31445
188	7322	31423
189	7366	31404
190	7404	31363
191	7443	31322
192	7453	31165
193	7492	31127
194	7532	31097
195	7572	31064
196	7592	30947
197	7632	30916
198	7673	30886
199	7714	30856
200	7756	30832
201	7793	30786
202	7835	30763
203	7876	30733
204	7919	30710
205	7961	30686
206	8003	30660
207	8042	30624
208	8081	30587
209	8118	30540
210	8160	30513
211	8205	30498
212	8246	30467
213	8286	30434
214	8326	30402
215	8366	30366
216	8403	30320
217	8442	30286
218	8483	30255
219	8524	30223
220	8565	30193
221	8616	30195
222	8658	30168
223	8696	30128
224	8740	30106
225	8776	30055
226	8817	30025
227	8859	29996
228	8900	29966
229	8913	29842
230	8955	29812
231	8993	29772
232	9033	29735
233	9053	29636
234	9092	29600
235	9130	29558
236	9171	29525
237	9186	29413
238	9229	29387
239	9268	29349
240	9309	29319
241	9350	29287
242	9390	29252
243	9433	29226
244	9475	29200
245	9516	29169
246	9556	29133
247	9600	29110
248	9642	29083
249	9682	29047
250	9724	29017
251	9765	28985
252	9808	28959
253	9848	28925
254	9887	28886
255	10009	29090
256	10062	29091
257	10104	29060
258	10147	29032
259	10186	28991
260	10228	28962
261	10270	28929
262	10309	28889
263	10352	28860
264	10397	28838
265	10438	28802
266	10479	28768
267	10519	28731
268	10553	28678
269	10595	28645
270	10636	28613
271	10680	28586
272	10697	28486
273	10738	28452
274	10780	28421
275	10821	28386
276	10864	28356
277	10905	28323
278	10948	28292
279	10987	28254
280	11028	28219
281	11066	28177
282	11108	28145
283	11153	28120
284	11190	28074
285	11237	28054
286	11283	28031
287	11325	27998
288	11364	27959
289	11407	27929
290	11448	27894
291	11486	27850
292	11529	27820
293	11565	27773
294	11606	27738
295	11644	27696
296	11686	27661
297	11714	27595
298	11761	27574
299	11813	27565
300	11860	27543
301	11909	27526
302	11958	27507
303	12005	27486
304	12056	27473
305	12105	27454
306	12150	27428
307	12196	27403
308	12244	27381
309	12289	27353
310	12339	27337
311	12391	27324
312	12440	27305
313	12464	27230
314	12508	27200
315	12554	27174
316	12604	27156
317	12651	27132
318	12701	27115
319	12744	27082
320	12794	27064
321	12816	26985
322	12860	26954
323	12905	26926
324	12955	26907
325	13001	26880
326	13049	26856
327	13098	26835
328	13143	26806
329	13193	26787
330	13237	26755
331	13277	26715
332	13325	26691
333	13369	26659
334	13419	26638
335	13467	26613
336	13518	26595
337	13572	26583
338	13618	26554
339	13662	26521
340	13708	26493
341	13757	26469
342	13807	26447
343	13847	26407
344	13889	26370
345	13937	26344
346	13977	26304
347	14002	26234
348	14047	26203
349	14095	26176
350	14147	26158
351	14194	26131
352	14245	26109
353	14294	26084
354	14340	26055
355	14390	26033
356	14440	26008
357	14489	25983
358	14540	25962
359	14589	25937
360	14642	25917
361	14690	25890
362	14739	25864
363	14784	25832
364	14830	25800
365	14881	25778
366	14932	25755
367	14986	25738
368	15036	25713
369	15084	25684
370	15135	25661
371	15185	25635
372	15231	25603
373	15282	25580
374	15331	25552
375	15381	25526
376	15429	25497
377	15478	25469
378	15522	25434
379	15554	25378
380	15604	25352
381	15656	25329
382	15704	25300
383	15758	25278
384	15806	25248
385	15857	25223
386	15895	25178
387	15946	25152
388	15994	25122
389	16036	25082
390	16077	25041
391	16120	25003
392	16157	24955
393	16198	24914
394	16240	24874
395	16281	24833
396	16321	24790
397	16364	24751
398	16407	24713
399	16445	24667
400	16484	24624
401	16525	24582
402	16560	24531
403	16600	24489
404	16644	24453
405	16685	24412
406	16725	24369
407	16765	24326
408	16805	24284
409	16843	24238
410	16883	24195
411	16924	24154
412	16964	24112
413	17004	24069
414	17045	24028
415	17081	23979
416	17123	23940
417	17165	23900
418	17216	23872
419	17256	23830
420	17297	23788
421	17338	23747
422	17382	23711
423	17416	23660
424	17452	23612
425	17493	23571
426	17536	23532
427	17578	23493
428	17620	23452
429	17661	23411
430	17702	23370
431	17743	23328
432	17786	23290
433	17823	23244
434	17865	23204
435	17906	23163
436	17947	23122
437	17990	23083
438	18031	23042
439	18071	23000
440	18115	22962
441	18158	22923
442	18201	22885
443	18242	22844
444	18284	22803
445	18327	22765
446	18367	22723
447	18415	22690
448	18457	22649
449	18506	22619
450	18557	22590
451	18602	22553
452	18647	22516
453	18695	22483
454	18742	22449
455	18785	22411
456	18830	22374
457	18876	22338
458	18921	22301
459	18964	22262
460	19003	22219
461	19041	22173
462	19080	22129
463	19119	22086
464	19163	22048
465	19204	22007
466	19242	21962
467	19292	21930
468	19336	21892
469	19381	21855
470	19430	21822
471	19472	21782
472	19514	21742
473	19558	21704
474	19600	21664
475	19644	21625
476	19689	21588
477	19737	21553
478	19780	21515
479	19818	21470
480	19861	21430
481	19903	21390
482	19953	21357
483	19998	21320
484	20044	21283
485	20084	21241
486	20123	21197
487	20164	21156
488	20208	21117
489	20249	21076
490	20290	21034
491	20334	20995
492	20376	20955
493	20420	20916
494	20462	20875
495	20504	20835
496	20548	20796
497	20589	20754
498	20631	20714
499	20675	20675
500	20718	20635
501	20755	20589
502	20793	20545
503	20836	20505
504	20879	20466
505	20923	20427
506	20964	20385
507	21008	20346
508	21051	20307
509	21098	20270
510	21145	20234
511	21188	20195
512	21234	20158
513	21283	20124
514	21331	20088
515	21379	20053
516	21423	20014
517	21471	19979
518	21516	19940
519	21560	19902
520	21607	19865
521	21653	19828
522	21697	19788
523	21744	19752
524	21789	19714
525	21832	19674
526	21873	19632
527	21916	19591
528	21956	19549
529	22002	19511
530	22045	19471
531	22095	19437
532	22141	19399
533	22185	19360
534	22220	19312
535	22261	19271
536	22304	19230
537	22345	19188
538	22386	19146
539	22426	19104
540	22467	19061
541	22509	19021
542	22553	18981
543	22594	18939
544	22633	18896
545	22673	18852
546	22711	18808
547	22754	18768
548	22798	18728
549	22842	18689
550	22888	18651
551	22932	18611
552	22981	18576
553	23025	18537
554	23064	18493
555	23107	18452
556	23148	18410
557	23190	18369
558	23236	18331
559	23277	18289
560	23317	18246
561	23357	18203
562	23396	18160
563	23442	18121
564	23487	18083
565	23536	18047
566	23575	18003
567	23618	17963
568	23663	17924
569	23704	17882
570	23744	17839
571	23786	17798
572	23832	17760
573	23876	17720
574	23919	17679
575	23963	17639
576	24007	17600
577	24045	17555
578	24088	17515
579	24132	17475
580	24171	17431
581	24212	17389
582	24254	17348
583	24297	17307
584	24341	17268
585	24383	17226
586	24427	17186
587	24470	17146
588	24514	17106
589	24559	17067
590	24606	17028
591	24650	16988
592	24691	16946
593	24732	16904
594	24773	16862
595	24806	16815
596	24848	16773
597	24893	16734
598	24940	16696
599	24984	16656
600	25030	16617
601	25072	16576
602	25114	16534
603	25156	16493
604	25204	16455
605	25247	16415
606	25292	16375
607	25339	16337
608	25380	16295
609	25421	16253
610	25464	16212
611	25500	16166
612	25540	16124
613	25581	16081
614	25626	16042
615	25669	16001
616	25715	15962
617	25755	15920
618	25794	15876
619	25838	15836
620	25881	15795
621	25924	15754
622	25958	15708
623	25998	15665
624	26031	15618
625	26073	15577
626	26113	15534
627	26147	15488
628	26190	15447
629	26231	15405
630	26271	15363
631	26314	15322
632	26358	15281
633	26397	15239
634	26438	15197
635	26478	15154
636	26520	15112
637	26561	15071
638	26606	15031
639	26651	14991
640	26693	14950
641	26732	14907
642	26772	14864
643	26815	14823
644	26857	14782
645	26897	14739
646	26936	14696
647	26976	14653
648	27020	14613
649	27064	14573
650	27107	14532
651	27154	14493
652	27202	14455
653	27245	14414
654	27287	14373
655	27327	14330
656	27367	14287
657	27405	14244
658	27445	14201
659	27487	14160
660	27531	14119
661	27574	14078
662	27615	14037
663	27667	14000
664	27718	13963
665	27765	13924
666	27813	13886
667	27866	13849
668	27918	13813
669	27970	13776
670	28021	13739
671	28073	13702
672	28122	13664
673	28173	13627
674	28223	13589
675	28270	13549
676	28314	13509
677	28361	13469
678	28409	13430
679	28456	13391
680	28523	13361
681	28562	13318
682	28611	13279
683	28659	13240
684	28707	13201
685	28752	13160
686	28798	13120
687	28846	13081
688	28892	13041
689	28943	13003
690	28992	12964
691	29040	12925
692	29087	12885
693	29134	12846
694	29183	12807
695	29236	12769
696	29286	12731
697	29336	12693
698	29384	12653
699	29430	12613
700	29475	12572
701	29523	12532
702	29570	12492
703	29617	12452
704	29661	12411
705	29707	12371
706	29757	12332
707	29802	12291
708	29849	12251
709	29901	12213
710	29950	12173
711	29998	12134
712	30047	12094
713	30096	12055
714	30143	12015
715	30195	11976
716	30242	11936
717	30291	11897
718	30345	11859
719	30399	11822
720	30449	11782
721	30499	11743
722	30545	11702
723	30596	11663
724	30642	11623
725	30691	11583
726	30739	11543
727	30785	11502
728	30839	11464
729	30892	11426
730	30943	11386
731	30984	11344
732	31032	11303
733	31083	11264
734	31132	11224
735	31180	11184
736	31229	11144
737	31275	11103
738	31325	11063
739	31371	11022
740	31425	10984
741	31474	10943
742	31523	10903
743	31576	10865
744	31628	10825
745	31685	10788
746	31737	10749
747	31785	10708
748	31835	10668
749	31882	10627
750	31926	10585
751	31967	10542
752	32007	10499
753	32049	10456
754	32095	10415
755	32136	10371
756	32177	10329
757	32217	10285
758	32253	10241
759	32298	10199
760	32341	10157
761	32381	10113
762	32423	10071
763	32465	10028
764	32508	9986
765	32549	9943
766	32593	9901
767	32631	9857
768	32672	9814
769	32715	9772
770	32757	9729
771	32800	9687
772	32842	9644
773	32881	9601
774	32922	9558
775	32966	9515
776	33008	9473
777	33045	9429
778	33088	9387
779	33129	9344
780	33169	9301
781	33208	9257
782	33249	9214
783	33294	9172
784	33338	9130
785	33380	9088
786	33417	9044
787	33462	9002
788	33516	8963
789	33562	8921
790	33601	8878
791	33643	8835
792	33685	8793
793	33725	8749
794	33763	8706
795	33803	8663
796	33847	8621
797	33890	8578
798	33932	8536
799	33974	8493
800	34015	8450
801	34052	8406
802	34094	8364
803	34138	8322
804	34179	8279
805	34221	8237
806	34261	8193
807	34300	8150
808	34342	8108
809	34388	8066
810	34429	8023
811	34469	7980
812	34504	7936
813	34546	7893
814	34591	7852
815	34637	7810
816	34678	7767
817	34722	7725
818	34765	7683
819	34804	7640
820	34845	7597
821	34894	7556
822	34938	7514
823	34977	7470
824	35017	7428
825	35058	7385
826	35102	7343
827	35142	7300
828	35185	7257
829	35229	7215
830	35271	7173
831	35311	7130
832	35352	7087
833	35395	7045
834	35435	7002
835	35476	6959
836	35522	6917
837	35562	6874
838	35600	6831
839	35640	6788
840	35683	6746
841	35722	6703
842	35766	6661
843	35809	6618
844	35850	6576
845	35893	6533
846	35937	6491
847	35977	6448
848	36020	6406
849	36065	6364
850	36107	6321
851	36147	6279
852	36186	6236
853	36229	6193
854	36273	6151
855	36314	6109
856	36352	6065
857	36394	6023
858	36436	5980
859	36480	5938
